# DCS_Hosts.txt
# NO9S 01/18/2018 On Cocoa Server
# The format of this file is the name of the reflector followed by its
# IP address or dns name.I prefer to have DNS name as then the changes are easier to keep up with
# when reporting changes to me add this information
# Some information may have been sourced from. Adrian vk4tux.

DCS000	dcs000.xlxreflector.org L
DCS001	dcs001.xreflector.net
DCS002	dcs002.xreflector.net
DCS003	dcs003.xreflector.net
DCS004	dcs004.xreflector.net L
DCS005	dcs005.xreflector.net L
DCS006	dcs006.xreflector.net
DCS007	dcs007.xreflector.net
DCS008	dcs008.xreflector.net
DCS009	dcs009.xreflector.net
DCS010	dcs010.xreflector.net
DCS011	dcs011.xreflector.net
DCS012	dcs012.xreflector.net
DCS013	dcs013.xreflector.net
DCS014	dcs014.xreflector.net
DCS015	dcs015.xreflector.net
DCS016	dcs016.xreflector.net
DCS017	dcs017.xreflector.net
DCS018	dcs018.xreflector.net
DCS019	dcs019.xreflector.net
DCS020	dcs020.xreflector.net
DCS021	dcs021.xreflector.net
DCS022	dcs022.xreflector.net
DCS023	dcs023.xreflector.net
DCS024	dcs024.xreflector.net
DCS025	dcs025.xreflector.net
DCS027	dcs027.xreflector.net
DCS028	dcs028.xreflector.net
DCS032	158.64.26.140
DCS033	dcs033.xreflector.net
DCS035	45.79.94.184
DCS040	109.71.45.29
DCS041	xrf041.bbhill.net
DCS047	222.159.240.243
DCS052	220.221.212.131
DCS054	52.86.180.251
DCS059	18.219.32.21
DCS062	70.88.145.163
DCS064	202.241.175.133
DCS068	92.222.145.202
DCS071	xrf071.dv.or.kr
DCS072	xrf072.dv.or.kr
DCS075	86.105.55.51
DCS076	203.137.116.117
DCS077	5.249.151.111
DCS081	xlx081jr3vh.jpn.ph
DCS082	xlx082.pungsan.com
DCS083	xlx083.pungsan.com
DCS085	118.152.21.76
DCS086	xlx086.ddns.net
DCS088	xrf088.pa4tw.nl
DCS089	194.109.192.236
DCS091	89.36.219.197
DCS098	111.168.210.56
DCS100	dcs100.xlxreflector.org L
DCS101	dcs101.xreflector.org L
DCS102	dcs102.xreflector.org L
DCS103	dcs103.xreflector.org L
DCS104	dcs104.xreflector.org L
DCS105	dcs105.xlxreflector.org
DCS115	reflector-xlx.hb9vd.ch
DCS125	78.131.97.211
DCS127 pj2man.hopto.org
DCS132	193.106.216.154
DCS134	159.89.176.86	
DCS145	178.59.23.138
DCS147	46.41.1.127
DCS170	dvham.mooo.com 
DCS202	81.4.107.250
DCS204	xlx204.ph0dv.nl
DCS210	dcs210.xlxreflector.org L
DCS212	52.38.90.188
DCS214	89.36.214.120
DCS222	93.189.136.50
DCS226	216.158.224.28
DCS229	dstar.hamnet.xyz
DCS230	ref.dstar.cz
DCS248	104.167.104.233
DCS264	52.2.131.118
DCS270	158.64.26.132
DCS300	dcs300.xreflector.org L
DCS310	162.244.25.94
DCS311	78.47.206.12
DCS313	xlx313.openstd.net
DCS314	162.248.10.154
DCS315 65.101.7.50
DCS317	107.170.195.225
DCS357	162.244.28.186
DCS359	217.174.155.51
DCS365	xrf365.dip.jp
DCS370	188.213.168.24
DCS400	c4fm.ysfreflector.de
DCS404	xlx.bendiksverden.net
DCS444	xlx444.pa3dfn.nl
DCS450	dcs450.xreflector.org L
DCS456	51.254.38.226
DCS470 104.49.29.243
DCS502	74.208.88.137
DCS508	185.188.4.15
DCS518	176.9.1.168
DCS519	xrf519.ve3zin.com
DCS555	104.167.117.252
DCS570	104.128.230.153
DCS573	216.189.148.204
DCS600	xlx600.dvscotland.net
DCS603	24.233.107.8
DCS610	103.1.213.21
DCS626	626.nz
DCS651	66.240.165.26
DCS699	82.102.5.239
DCS700	78.47.222.93
DCS706	dcs706.iz0rin.it
DCS707	xlx.pa7lim.nl
DCS708	xrf708.dip.jp
DCS709	xlx.dvmega.co.uk
DCS724	xlx.dvbrazil.com.br
DCS737	195.130.75.246
DCS747	xrf747.de
DCS766	201.62.48.61
DCS773	dcs773.iz0rin.it
DCS787	xrf787.de
DCS800	52.26.26.195
DCS810	dcs810.xreflector.org L
DCS828	5.1.85.55
DCS850	88.198.94.77
DCS859	xlx859.ke0lmx.net
DCS870	xrf870.ddns.net
DCS886	118.163.103.179
DCS888	37.187.0.15
DCS897	92.222.23.124
DCS900	91.134.142.18
DCS902	104.233.76.150
DCS909	xlx909.ealink.org 
DCS911	217.196.138.39
DCS925	xlx925.hopto.org
DCS929	104.167.99.218
DCS930	95.234.254.81
DCS950	158.64.26.134
DCS972	46.121.158.50  
DCS986	81.89.102.160
DCS989	xlx989.duckdns.org
DCS997	xrf997.iw2gob.it
DCS998	44.140.236.20
DCS999	88.147.102.200
