# DExtra_Hosts.txt
# NO9S 02/19/2018
# The format of this file is the name of the reflector followed by its
# IP address or dns name.I prefer to have DNS name as then the changes are easier to keep up with
# when reporting changes to me add this information
# Some information may have been, at sometime, sourced from. Adrian vk4tux.

XRF000	xrf000.xreflector.org
XRF001 xlx001.homepc.it
XRF002	xrf002.dstar.club
XRF003	xrf003.iw0red.it
XRF004	44.103.34.3
XRF005	ve3tnk.homelinux.net 
XRF006	xrf006.xrefl.net
XRF007	82.223.18.138
XRF008	95.110.231.219 
XRF009	www.hamtalk.net 
XRF010	162.243.74.151
XRF011	87.106.3.249 
XRF012	xrf012.papasys.com
XRF013	xrf013.vkradio.com
XRF014	xrf014.iz0rin.it
XRF015	xrf015.theapplecore.me
XRF017	87.253.159.114 
XRF018	199.167.129.166 
XRF019	xlx019.ok2it.com 
XRF020	xlx020.iz7auh.net 
XRF021	44.103.32.250
XRF022	xrf022.tms-it.net
XRF023	141.75.245.225 
XRF024	xrf024.dstar.at
XRF025	63.133.189.2
XRF026	24.233.121.226
XRF027	194.116.29.78
XRF028	stn028.dstar.be
XRF029	tyrol-dstar.ddns.net
XRF030	xrf030.oe3xht.at
XRF031	83.241.141.245 
XRF032	158.64.26.140
XRF033	46.226.178.81 
XRF035	45.79.94.184
XRF036	xrf036.ddns.net
XRF037	185.58.193.163 
XRF038	66.6.171.228 
XRF040	109.71.45.29
XRF041	167.88.37.80 
XRF043	xrf043.aotnet.it
XRF044	82.1.185.173 
XRF047 xlx047.ddns.net
XRF048	xrf048.n5uxt.org
XRF052 je7zbu.dip.jp
XRF054	52.86.180.251
XRF055	52.80.4.154 
XRF057	xlx057.ddns.net
XRF058	xrf058.dip.jp
XRF062	70.88.145.163
XRF063	162.248.141.148
XRF064 xrf064.owari.biz
XRF067	xrf067.f5kav.org
XRF068	92.222.145.202
XRF069	xlx069.sustrai.org
XRF070	xrf070.iptime.org
XRF071	xrf071.dv.or.kr
XRF072	xrf072.dv.or.kr
XRF073	147.102.7.34 
XRF074	xrf074.dyndns.org
XRF075	86.105.55.51
XRF076	xrf076.xreflector-jp.org
XRF077	5.249.151.111
XRF078	xlx078.dmrnet.fr
XRF079	xrf079.dvham.com
XRF080 jr3vh.dip.jp
XRF081 xlx081jr3vh.jpn.ph
XRF082	xlx082.pungsan.com
XRF083	xlx083.pungsan.com
XRF085	xrf085.dip.jp
XRF088	xrf088.pa4tw.nl
XRF089	194.109.192.236
XRF090	46.37.185.184 
XRF091	89.36.219.197
XRF095	xrf095.dip.jp
XRF098 xrf098.dip.jp
XRF099	xlx099.iz7auh.net
XRF100	xrf100.xreflector.org
XRF101	xrf101.xreflector.org
XRF102	xrf102.xreflector.org
XRF103	xrf103.xreflector.org
XRF104	xrf104.xreflector.org
XRF105 xrf105.xlxreflector.org
XRF111	xrf111.xreflector-jp.org
XRF112	112.xreflector.es
XRF113	xlx113.homepc.it
XRF115	reflector-xlx.hb9vd.ch
XRF117	xref117.dyndns.org
XRF119	149.154.158.170 
XRF122	xrf.vpn4ham.com
XRF123	213.126.90.100 
XRF124	xrf124.xreflector-jp.org
XRF125	78.131.97.211
XRF129 guwgw.cir-ins.com
XRF131	xlx131.pe1er.nl
XRF132	193.106.216.154
XRF133	xrf133.dvscotland.net
XRF134	159.89.176.86	
XRF145	178.59.23.138
XRF147 46.41.1.127
XRF150	150.mmdvm.es
XRF168	xrf168.duckdns.org
XRF170 xlx170.dvham.com
XRF171	xrf171.dvham.com
XRF200	185.203.119.158
XRF202	81.4.107.250
XRF204	xlx204.ph0dv.nl
XRF210	xrf210.xreflector.org
XRF212	52.38.90.188
XRF214	89.36.214.120
XRF222	93.189.136.50
XRF224	xrf224.xreflector-jp.org
XRF229	dstar.hamnet.xyz
XRF223 208.73.201.157
XRF226	xrf.226.ro
XRF230	ref.dstar.cz
XRF246	xlx.mkagawa.com
XRF248	104.167.104.233
XRF250 xrf250.dstar.su
XRF264	52.2.131.118
XRF270	158.64.26.132
XRF291	xrf291.xreflector-jp.org
XRF295	xrf295.dyndns.org
XRF298	xrf298.dip.jp
XRF300	xrf300.xreflector.org
XRF302	xlx302.hopto.org
XRF310	xrf310.xrefl.net
XRF311	78.47.206.12
XRF313	xlx313.openstd.net
XRF315 65.101.7.50
XRF314	162.248.10.154
XRF315	104.233.109.56
XRF317	107.170.195.225
XRF357	162.244.28.186
XRF333 194.116.29.73
XRF334 xlx.alabamalink.info
XRF339	xlx339.avarc.ca
XRF359	217.174.155.51
XRF360 xrf360.dip.jp
XRF365	xrf365.dip.jp
XRF370	188.213.168.24
XRF373	xrf373.dip.jp
XRF374	xrf374.dip.jp
XRF382	xrf382.pgw.jp
XRF398	xrf398.dyndns.org
XRF400 c4fm.ysfreflector.de
XRF404	xlx.bendiksverden.net
XRF412	xrf412.xreflector-jp.org
XRF431	xrf431.xreflector-jp.org
XRF433	xrf433.de
XRF440	xrf440.e-kyushu.net
XRF441	xrf441.xreflector-jp.org
XRF444	xrf444.pa3dfn.nl
XRF449	xrf.ossdr.com
XRF450	xrf450.xreflector.org
XRF456	51.254.38.226
XRF470 104.49.29.243
XRF499	xlx499.dynu.net
XRF502	74.208.88.137
XRF508	185.188.4.15
XRF515	shounandstar.dip.jp
XRF518	176.9.1.168
XRF519	xrf519.ve3zin.com
XRF538	xrf538.dip.jp
XRF544	xlx544.ddns.net
XRF550	550.xreflector.es
XRF555	104.167.117.252
XRF569 xlxreflector.jpn.ph
XRF570	104.128.230.153
XRF573	216.189.148.204
XRF595	hamradio.dip.jp
XRF600 xlx600.dvscotland.net
XRF603	24.233.107.8
XRF610	103.1.213.21
XRF626	626.nz
XRF634	xrf634.dip.jp
XRF651	66.240.165.26
XRF673	xrf673.xreflector-jp.org
XRF699	82.102.5.239
XRF700	78.47.222.93
XRF701	xrf701.xreflector-jp.org
XRF703	xrf703.xreflector-jp.org
XRF706	xrf706.iz0rin.it
XRF707	xlx.pa7lim.nl
XRF708	xrf708.xreflector-jp.org
XRF709	xlx.dvmega.co.uk
XRF712	xrf712.ddo.jp
XRF714 xlx714.ea3hkb.com
XRF720 xrf720.freestar.us
XRF722	722.reflector.es
XRF724	xlx.dvbrazil.com.br
XRF727	w4icy.inerrantenergy.com
XRF732	xlx.hk4km.co
XRF733 xlx733.ddns.net
XRF737	195.130.75.246
XRF747 xrf747.de
XRF748	xrf748.dyndns.org
XRF766	201.62.48.61
XRF767 xrf767.de
XRF773	xrf773.iz0rin.it
XRF776	xlx776.tokyo
XRF781	xrf781.xreflector-jp.org
XRF787 xrf787.de
XRF789	75.144.65.122
XRF794	xrf794.xreflector-jp.org
XRF800	52.26.26.195
XRF810	xrf810.xreflector.org
XRF812	xrf812.xreflector-jp.org
XRF828	5.1.85.55
XRF850	88.198.94.77
XRF859	xlx859.ke0lmx.net
XRF870	xrf870.ddns.net
XRF886 xlx886.metropit.net
XRF787 xrf787.de
XRF878	xrf878.xreflector-jp.org
XRF888	37.187.0.15
XRF897	92.222.23.124
XRF900	91.134.142.18
XRF902	104.233.76.150
XRF905 199.212.121.20
XRF909	xlx909.ealink.es 
XRF911	217.196.138.39
XRF925	xlx925.hopto.org
XRF929	104.167.99.218
XRF930	95.234.254.81
XRF940	xrf940.xreflector-jp.org
XRF944	xrf944.xreflector-jp.org
XRF945	xlx945.xreflector.es
XRF950	158.64.26.134
XRF973	xrf973.dip.jp
XRF986	81.89.102.160
XRF989 xlx989.duckdns.org
XRF997	xrf997.iw2gob.it
XRF998	44.140.236.20
XRF999	88.147.102.200
XRFWDX	xrfwdx.ham-radio-op.net
9A0DZG	213.147.105.121 
AH2G	206.212.249.68 
CE3AA	186.79.12.255 
CQ0DAH	84.90.202.45 
CQ0DAM	2.83.41.111 
CQ0DBA	213.22.255.15 
CQ0DBO	188.80.16.12 
CQ0DCH	82.155.246.220 
CQ0DCS	89.115.66.144 
CQ0DFO	92.250.84.103 
CQ0DGM	188.83.126.65 
CQ0DLR	2.80.110.76 
CQ0DLX	84.90.7.110 
CQ0DMC	84.91.174.176 
CQ0DOA	188.82.146.169 
CQ0DPD	85.214.55.76 
CQ0DPT	85.240.54.181 
CQ0DS	79.169.225.144 
CQ0DSA	85.139.221.18 
CQ0DSE	84.91.174.176 
CQ0DSI	84.90.7.110 
CQ0DSL	89.214.191.100 
CQ0DSM	84.91.25.83 
CQ0DTV	81.193.36.49 
CQ0DVI	89.155.233.237 
CX4AXX	188.63.84.60 
DB0AB	188.194.117.71 
DB0ADB	84.138.89.76 
DB0ADN	195.243.163.162 
DB0AFZ	92.50.67.6 
DB0AMK	79.221.168.74 
DB0BHN	82.198.222.49 
DB0BLB	80.141.72.120 
DB0BLW	84.147.115.127 
DB0BOS	94.249.216.106 
DB0BS	134.19.126.223 
DB0BUX	93.232.136.85 
DB0CHV	95.119.72.128 
DB0CI	79.249.40.233 
DB0COM	217.24.207.22 
DB0CW	87.152.86.33 
DB0CWS	217.91.218.7 
DB0DAM	194.94.26.157 
DB0DB	185.70.220.35 
DB0DBN	93.214.135.44 
DB0DDE	79.253.190.68 
DB0DDO	85.22.86.22 
DB0DLR	77.20.195.65 
DB0DMB	2.203.110.51 
DB0DOS	131.173.32.248 
DB0DS	176.199.152.106 
DB0DTR	195.46.251.108 
DB0DY	89.166.242.196 
DB0DZ	212.17.239.127 
DB0EAT	92.210.20.212 
DB0EIS	178.200.28.163 
DB0ELD	84.63.178.201 
DB0END	89.238.78.164 
DB0ERK	185.22.143.181 
DB0ERZ	46.227.221.228 
DB0ESS	80.81.9.242 
DB0FEU	80.152.206.180 
DB0FIB	77.235.169.90 
DB0FRB	188.98.70.135 
DB0FS	85.176.37.222 
DB0FTS	95.90.214.179 
DB0FWS	194.94.48.144 
DB0FZH	79.204.26.108 
DB0GM	79.248.223.244 
DB0HAA	93.197.239.102 
DB0HAS	87.176.19.172 
DB0HCC	93.232.177.146 
DB0HDF	95.91.76.170 
DB0HEW	89.204.153.118 
DB0HFD	178.208.98.198 
DB0HFT	194.94.26.189 
DB0HGW	87.142.216.150 
DB0HHO	176.7.54.244 
DB0HPA	37.4.9.252 
DB0HRF	94.249.222.91 
DB0HRM	176.102.173.77 
DB0HRR	84.171.4.212 
DB0HSK	80.149.48.126 
DB0HUS	89.244.91.2 
DB0IKS	37.230.19.47 
DB0IR	84.158.126.48 
DB0IZ	83.135.44.104 
DB0KH	91.5.42.140 
DB0KLI	91.89.132.121 
DB0KOE	212.17.239.122 
DB0KUE	79.252.60.114 
DB0LAM	81.14.232.191 
DB0LAR	79.249.92.224 
DB0LBX	80.153.19.36 
DB0LE	84.133.84.34 
DB0LER	194.94.26.157 
DB0LJ	79.198.238.119 
DB0LY	212.185.185.244 
DB0MAR	109.47.2.122 
DB0MDX	137.248.141.153 
DB0MGN	84.154.252.75 
DB0MIA	93.195.142.115 
DB0MOT	94.249.222.90 
DB0MYK	87.139.70.67 
DB0NG	217.191.69.201 
DB0NIS	84.180.79.109 
DB0NU	217.241.11.28 
DB0OAL	212.125.105.177 
DB0OFI	79.197.246.185 
DB0OHA	77.22.37.160 
DB0OL	194.94.26.157 
DB0OTV	92.72.49.129 
DB0PBS	192.26.179.90 
DB0PLN	91.34.243.139 
DB0POB	84.133.41.125 
DB0RDH	80.153.138.172 
DB0REU	93.210.95.233 
DB0RIG	212.87.140.9 
DB0RKB	84.170.133.207 
DB0RKD	212.17.239.126 
DB0RZS	79.240.190.243 
DB0SAT	85.179.193.136 
DB0SBX	217.92.213.164 
DB0SHA	77.20.23.147 
DB0SIF	93.229.129.52 
DB0SN	134.76.247.241 
DB0ST	88.67.139.84 
DB0SWR	db0swr.dyndns.org
DB0SZS	85.8.93.210 
DB0THM	84.145.171.120 
DB0TIT	91.5.225.161 
DB0TUV	89.0.100.87 
DB0TVM	129.187.5.189 
DB0UHC	194.97.35.190 
DB0ULM	134.60.21.28 
DB0USK	91.40.86.245 
DB0VA	217.51.132.56 
DB0VOX	141.75.245.244 
DB0VS	84.57.181.10 
DB0WA	137.226.79.113 
DB0WE	134.91.90.125 
DB0WHV	77.10.130.231 
DB0WIM	84.172.46.107 
DB0WK	84.58.69.195 
DB0WTV	79.227.18.125 
DB0WUN	62.227.205.18 
DB0WV	185.139.93.23 
DB0XO	89.0.245.227 
DB0XPO	77.189.65.133 
DB0ZB	178.25.243.189 
DB0ZKA	91.61.233.214 
DB0ZO	79.222.195.11 
DF0GC	79.199.149.40 
DF0MHR	134.91.90.124 
DF0WUN	178.25.243.189 
DM0BAM	91.58.245.179 
DM0BS	84.129.211.96 
DM0DWD	95.222.24.105 
DM0GAP	24.134.234.46 
DM0GER	217.251.61.108 
DM0GRI	79.240.53.7 
DM0HEI	93.195.156.129 
DM0HHW	31.17.183.109 
DM0HMB	141.22.12.147 
DM0IZH	217.7.213.254 
DM0KR	85.197.13.90 
DM0LEI	178.5.5.33 
DM0LUE	185.8.138.7 
DM0MW	141.55.128.102 
DM0PX	87.163.86.155 
DM0RAM	46.59.223.126 
DM0RW	79.250.111.119 
DM0SAT	79.234.67.213 
DM0SL	93.214.222.145 
DM0ULM	130.255.111.80 
DM0WM	193.196.117.162 
DM0ZOG	193.197.187.14 
DO0ERK	84.135.57.80 
DO0FWH	91.5.149.137 
DO0SRE	84.149.80.149 
DO0TPB	47.67.134.226 
DX1PAR	112.206.97.48 
E29AB	118.174.62.161 
E29AJ	113.53.67.192 
E70TM	178.236.87.7 
EA1RKG	85.251.52.170 
EA3URE	95.62.174.142 
EA5DW	83.231.60.134 
EA5RKD	62.43.198.66 
ED1YAG	91.117.52.125 
ED1YBK	213.60.194.98 
ED1YBL	213.60.194.98 
ED1YBQ	95.18.64.212 
ED1YBY	213.60.194.98 
ED1YCD	89.130.190.218 
ED1ZAB	88.15.133.155 
ED1ZAC	83.40.255.156 
ED1ZAJ	81.169.133.171 
ED1ZAK	88.23.184.179 
ED2YAA	83.213.145.3 
ED2YAE	89.7.121.26 
ED2YAN	80.35.102.65 
ED2YAO	85.87.244.112 
ED2YAP	85.86.27.35 
ED2ZAC	80.35.102.65 
ED2ZAD	83.213.197.60 
ED2ZAE	85.86.27.35 
ED3YAC	37.15.158.172 
ED3YAQ	85.54.247.169 
ED4ZAD	193.153.97.116 
ED5YAA	81.38.122.23 
ED5YAU	62.14.178.40 
ED5ZAE	37.59.115.215 
ED5ZAG	47.61.236.109 
ED6ZAA	37.152.91.24 
ED6ZAC	79.146.197.33 
ED7YAB	217.216.174.179 
ED7YAU	83.33.247.198 
ED7ZAC	37.11.191.198 
ED7ZAD	212.225.223.240 
ED7ZAE	217.216.83.87 
